population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality 
3,48E+13,2.73,0.10,3.328.945,2.459.620,12314.0,1.299.049,75.3,29.5 
1,98E+13,6.43,2.00,1.474.353,2.225.083,7103.0,1.301.247,58.3,192.0 
4,04E+13,2.24,0.50,4.785.170,2.750.170,14646.0,1.188.915,75.5,15.4 
2,98E+12,1.40,0.10,1.804.106,2.535.542,7383.0,1.328.108,72.5,20.0 
2,14E+13,1.96,0.10,18.016.313,2.756.373,41312.0,1.173.755,81.5,5.2 
8,33E+12,1.41,0.30,8.183.160,2.646.741,43952.0,1.241.394,80.4,4.6 
8,87E+12,1.99,0.10,5.109.538,2.565.117,14365.0,1.286.024,70.6,43.3 
3,49E+11,1.89,3.10,3.131.921,2.724.594,24373.0,1.243.862,72.2,14.5 
1,48E+14,2.38,0.06,319.161,2.039.742,2265.0,1.250.307,68.4,55.9 
2,77E+11,1.83,1.30,6.008.279,2.638.439,16075.0,1.263.940,75.3,15.4 
9,53E+12,1.42,0.20,6.488.174,2.616.443,14488.0,1.297.968,70.1,7.2 
1,08E+13,1.82,0.20,9.797.337,2.675.915,41641.0,1.218.227,79.4,4.7 
3,06E+11,2.91,2.40,1.360.126,2.702.255,8293.0,1.209.224,70.7,20.1 
8,97E+12,5.27,1.20,537.539,2.241.835,1646.0,1.302.723,63.2,116.3 
6,95E+11,2.51,0.20,601.210,2.282.180,5663.0,1.251.258,67.6,48.1 
9,60E+12,3.48,0.20,1.431.829,2.443.335,5066.0,1.224.155,70.9,52.0 
1,97E+12,2.86,24.90,2.547.205,2.212.984,13858.0,1.331.307,61.2,63.8 
1,95E+14,1.90,0.45,2.023.773,2.578.623,13906.0,1.248.745,73.9,18.6 
7,51E+12,1.43,0.10,6.690.139,2.654.286,15368.0,1.284.721,73.2,13.7 
1,47E+13,06.04,1.20,109.419,2.127.157,1358.0,1.306.651,59.4,130.4 
8,82E+12,6.48,3.50,31.389,2.150.291,723.0,1.341.955,57.4,108.6 
1,39E+13,03.05,0.60,287.547,2.080.496,2442.0,1.175.528,66.2,51.5 
1,96E+13,5.17,5.30,295.542,2.368.173,2571.0,1.272.823,56.6,113.8 
3,34E+13,1.68,0.20,16.350.399,2.745.210,41468.0,1.180.571,80.7,5.8 
1,11E+13,6.81,3.40,47.839,2.148.569,1753.0,1.278.640,54.8,168.0 
1,66E+13,1.89,0.40,4.240.259,2.701.542,18698.0,1.255.417,78.9,8.9 
4,49E+13,2.43,0.50,1.476.092,2.494.041,10489.0,1.240.235,75.1,19.7 
6,65E+11,05.05,0.06,178.853,2.206.131,1440.0,1.321.354,62.6,91.2 
3,83E+12,5.10,3.50,384.220,2.187.134,5022.0,1.316.935,58.6,72.6 
4,43E+12,1.91,0.30,1.911.933,2.647.897,12219.0,1.213.500,79.7,10.3 
1,93E+13,4.91,3.70,361.897,2.256.469,2854.0,1.315.237,55.9,116.9 
4,34E+12,1.43,0.06,5.287.903,2.659.629,21873.0,1.303.921,76.5,5.9 
1,13E+13,1.50,0.10,2.701.777,2.506.867,17765.0,1.260.594,77.8,6.3 
5,50E+12,1.89,0.20,8.541.508,2.613.287,45017.0,1.195.815,78.7,4.3 
8,10E+11,3.76,2.60,612.800,2.338.403,2502.0,1.293.376,61.0,81.0 
1,44E+13,2.73,0.40,2.110.518,2.558.841,9244.0,1.229.864,74.0,26.8 
7,90E+13,2.95,0.06,2.512.394,2.673.243,9974.0,1.250.931,70.1,31.4 
6,00E+12,2.32,0.80,1.067.765,2.636.751,7450.0,1.199.321,74.1,21.6 
6,86E+11,5.31,4.70,6.798.253,2.376.640,40143.0,1.320.392,56.7,118.4 
4,50E+12,5.16,0.80,83.746,2.088.509,1088.0,1.257.948,60.4,60.4 
1,34E+12,1.62,1.20,13.031.379,2.626.446,24743.0,1.295.161,74.0,5.5 
8,43E+11,2.74,0.10,1.277.780,2.653.078,7129.0,1.274.768,65.7,24.0 
5,31E+12,1.85,0.10,10.644.114,2.673.339,42122.0,1.265.645,79.4,3.3 
6,23E+13,1.97,0.40,5.999.021,2.585.329,37505.0,1.200.146,81.0,4.3 
1,47E+12,4.28,5.30,1.079.539,2.407.620,15800.0,1.303.625,57.5,68.0 
1,59E+12,5.80,1.70,251.002,2.165.029,1566.0,1.302.080,62.2,87.4 
4,34E+12,1.79,0.10,1.419.430,2.554.942,5900.0,1.305.789,72.1,19.3 
8,07E+13,1.37,0.10,9.497.247,2.716.509,41199.0,1.249.044,80.0,4.4 
2,31E+13,4.19,1.80,366.601,2.284.247,2907.0,1.282.953,62.7,79.9 
1,12E+13,1.46,0.10,8.661.236,2.633.786,32197.0,1.229.342,79.5,4.9 
1,41E+13,4.12,0.80,835.595,2.529.947,6960.0,1.209.596,70.8,36.9 
1,04E+13,5.34,1.40,126.964,2.252.449,1230.0,1.322.765,58.3,121.0 
1,56E+12,5.25,2.50,156.376,2.164.338,1326.0,1.307.627,51.3,127.6 
7,48E+11,2.74,1.20,2.073.415,2.368.465,5208.0,1.251.512,63.0,41.9 
9,71E+12,3.50,2.00,249.307,2.366.302,1600.0,1.253.461,61.7,83.3 
7,26E+12,3.27,0.80,1.187.454,2.510.872,4391.0,1.229.621,70.9,26.5 
1,01E+13,1.33,0.06,5.453.232,2.711.568,23334.0,1.286.968,73.8,7.2 
3,10E+11,2.12,0.30,6.821.903,2.720.687,42294.0,1.187.381,82.0,2.7 
1,20E+15,2.64,0.32,1.520.849,2.095.956,3901.0,1.231.274,64.4,65.6 
2,35E+14,2.48,0.20,1.755.044,2.185.576,7856.0,1.264.216,69.5,36.2 
7,25E+13,1.88,0.20,7.892.211,2.531.003,15955.0,1.251.859,76.9,21.4 
4,48E+12,2.00,0.20,9.882.531,2.765.325,47713.0,1.247.801,79.4,4.5 
7,09E+12,2.92,0.20,10.001.188,2.713.151,28562.0,1.210.838,80.9,4.9 
5,93E+13,1.39,0.30,7.465.942,2.648.020,37475.0,1.237.030,81.4,4.1 
2,72E+12,2.39,1.70,4.391.456,2.400.421,8951.0,1.253.685,75.5,18.9 
1,27E+14,1.34,0.06,9.536.606,2.350.004,34800.0,1.219.651,82.6,3.4 
1,59E+13,2.51,0.10,14.718.104,2.629.078,18797.0,1.288.517,66.1,25.9 
3,82E+13,4.76,6.30,266.308,2.159.258,2358.0,1.299.341,61.5,71.0 
2,14E+12,1.50,0.60,3.341.849,2.645.693,20977.0,1.295.746,72.3,10.5 
4,11E+12,1.57,0.10,3.996.722,2.720.117,14158.0,1.275.037,77.6,11.3 
1,97E+12,3.34,23.60,8.618,2.190.157,2041.0,1.311.361,45.2,114.2 
3,67E+12,5.19,1.60,157.352,2.189.537,588.0,1.312.555,61.0,100.9 
3,22E+12,1.42,0.10,4.498.483,2.686.102,23223.0,1.308.226,72.0,8.2 
4,85E+11,1.63,0.30,22.168.080,2.743.404,95001.0,1.223.705,80.7,2.8 
1,99E+13,4.79,0.20,99.422,2.140.347,1528.0,1.328.371,63.4,66.7 
1,39E+13,5.78,11.20,82.470,2.203.468,674.0,1.339.390,51.4,101.1 
2,72E+13,02.05,0.50,7.752.234,2.473.069,19968.0,1.238.593,74.5,8.0 
3,21E+11,2.38,0.06,3.277.726,2.321.991,12029.0,1.233.223,78.2,16.0 
1,42E+13,6.82,1.00,41.079,2.178.881,1602.0,1.280.308,55.8,148.3 
4,06E+11,1.38,0.10,6.182.771,2.768.361,27872.0,1.241.571,81.4,6.6 
3,41E+12,4.94,0.70,613.104,2.262.295,3356.0,1.299.875,63.6,103.0 
1,24E+12,1.58,0.90,3.078.763,2.515.669,14615.0,1.308.786,72.1,15.8 
1,15E+14,2.35,0.30,4.261.172,2.742.468,15826.0,1.221.216,75.7,17.9 
4,11E+12,1.49,0.40,1.313.321,2.423.690,3890.0,1.299.424,69.6,17.6 
2,63E+12,2.37,0.06,3.759.487,2.488.385,7563.0,1.297.504,63.2,34.8 
3,14E+13,2.44,0.10,1.594.083,2.563.182,6091.0,1.265.284,73.3,35.8 
2,30E+13,5.54,11.40,104.748,2.193.536,864.0,1.353.949,55.0,114.4 
5,10E+13,02.05,0.60,191.053,2.144.932,2891.0,1.231.421,60.8,87.2 
2,63E+13,2.90,0.40,105.413,2.076.344,1866.0,1.255.561,68.6,50.7 
1,65E+13,1.77,0.20,10.533.028,2.601.541,47388.0,1.216.950,80.3,4.8 
4,29E+12,2.12,0.10,8.009.084,2.776.893,32122.0,1.187.421,80.2,6.4 
5,59E+12,2.72,0.20,778.152,2.577.291,4060.0,1.234.792,75.2,28.1 
1,51E+13,7.59,0.80,63.437,2.121.958,843.0,1.351.021,59.7,141.3 
1,51E+14,06.02,3.60,614.690,2.303.322,4684.0,1.354.920,58.0,140.9 
4,77E+12,1.96,0.10,10.529.769,2.693.424,65216.0,1.260.266,80.7,3.6 
2,65E+12,2.89,0.10,15.572.080,2.624.109,47799.0,1.268.870,74.6,11.9 
1,63E+14,3.58,0.10,935.618,2.229.914,4187.0,1.265.196,64.1,95.5 
3,50E+12,2.61,0.90,2.223.796,2.626.959,14033.0,1.226.829,77.1,21.0 
6,54E+12,04.07,0.90,530.746,2.501.506,1982.0,1.200.524,58.2,69.7 
6,05E+12,03.06,0.30,698.582,2.554.223,6684.0,1.236.150,73.6,25.7 
2,86E+13,2.58,0.40,1.450.134,2.477.041,9249.0,1.196.368,76.8,23.2 
9,03E+13,3.26,0.06,842.121,2.287.263,5332.0,1.223.459,69.4,33.4 
3,85E+13,1.33,0.10,8.270.767,2.667.380,19996.0,1.296.765,75.3,6.7 
1,06E+13,1.36,0.50,5.486.926,2.668.445,27747.0,1.272.631,79.2,4.1 
1,39E+12,2.20,0.06,48.702.062,2.813.138,126076.0,1.263.153,80.4,9.5 
2,07E+13,1.34,0.10,4.383.449,2.541.069,18032.0,1.287.553,73.4,16.1 
1,43E+14,1.49,1.00,11.982.718,2.601.131,22506.0,1.284.903,67.6,13.5 
9,75E+12,05.06,2.90,54.244,2.255.453,1173.0,1.351.005,62.2,78.3 
1,22E+13,5.11,0.80,461.634,2.192.743,2162.0,1.302.795,64.3,75.8 
9,11E+12,1.41,0.10,5.271.223,2.651.495,12522.0,1.303.755,76.4,8.0 
5,52E+12,5.13,1.60,118.256,2.253.139,1289.0,1.347.160,55.9,179.1 
4,85E+12,1.28,0.10,4.114.441,2.383.996,65991.0,1.211.736,80.9,2.8 
5,40E+12,1.31,0.06,6.901.654,2.692.717,24670.0,1.295.280,74.8,8.8 
2,03E+12,1.43,0.06,8.511.828,2.743.983,30816.0,1.299.231,78.5,3.7 
9,13E+12,07.06,0.60,68.219,2.196.917,615.0,1.315.318,56.7,168.5 
5,03E+13,2.54,17.90,9.427.960,2.685.538,12263.0,1.309.949,55.0,66.1 
4,58E+13,1.42,0.40,7.293.089,2.749.975,34676.0,1.220.453,81.1,5.0 
1,99E+13,2.32,0.06,580.791,2.196.671,6907.0,1.248.615,74.3,11.7 
3,45E+13,4.79,1.00,382.118,2.240.484,3246.0,1.297.199,67.4,84.7 
5,07E+11,2.41,1.00,4.741.140,2.549.887,13470.0,1.246.358,69.1,26.4 
1,15E+12,3.70,25.90,949.861,2.316.969,5887.0,1.318.793,46.1,112.2 
9,23E+12,1.92,0.10,5.315.688,2.637.629,43421.0,1.229.473,81.1,3.2 
7,65E+12,1.47,0.40,5.333.058,2.620.195,55020.0,1.196.465,81.9,4.7 
7,25E+12,3.70,0.20,453.168,2.377.966,2001.0,1.299.657,69.5,56.2 
4,28E+13,5.54,5.80,154.673,2.247.792,2030.0,1.308.328,59.7,72.4 
6,65E+13,1.48,1.30,3.835.102,2.300.803,12216.0,1.204.969,74.1,15.6 
6,05E+12,4.88,3.20,251.983,2.187.875,1219.0,1.310.248,60.0,96.4 
1,32E+12,1.80,1.50,31.957.717,2.639.669,30875.0,1.249.939,71.3,24.9 
1,04E+13,02.04,0.06,2.440.669,2.515.699,9938.0,1.286.291,76.5,19.4 
7,03E+13,2.15,0.06,4.021.903,2.670.371,16454.0,1.240.675,75.1,22.2 
3,10E+13,6.34,6.40,100.853,2.235.833,1437.0,1.345.204,57.2,89.3 
4,60E+13,1.38,1.10,7.032.359,2.542.379,8762.0,1.314.962,68.2,12.9 
6,17E+13,1.87,0.20,8.526.467,2.739.249,37739.0,1.240.845,79.5,5.6 
3,04E+14,02.07,0.60,18.545.992,2.845.698,50384.0,1.184.777,78.2,7.7 
3,35E+12,2.11,0.50,2.489.764,2.639.123,15317.0,1.242.604,76.0,13.0 
2,70E+13,2.46,0.10,4.476.669,2.532.054,3733.0,1.243.462,68.7,49.2 
8,66E+13,1.86,0.40,1.479.347,2.091.630,4085.0,1.219.367,75.4,26.2 
1,31E+13,5.88,13.60,148.982,2.068.321,3039.0,1.324.493,52.0,94.9 
1,35E+13,3.85,15.10,654.323,2.202.660,1286.0,1.319.745,49.0,98.3 
