area A,perimeter P,compactness C = 4*pi*A/P^2,length of kernel,width of kernel,asymmetry coefficient,length of kernel groove
15.49,14.94,0.8724,5.757,3.371,3.412,5.228
14.09,14.41,0.8529,5.717,3.186,3.92,5.299
13.94,14.17,0.8728,5.585,3.15,2.124,5.012
15.05,14.68,0.8779,5.712,3.328,2.129,5.36
16.12,15,0.9,5.709,3.485,2.27,5.443
16.21,5.27,0.8734,5.826,3.464,2.823,5.527
17.08,15.38,0.9079,5.832,3.683,2.956,5.484
14.81,4.52,0.8823,5.656,3.288,3.112,5.309
14.28,14.17,0.8944,5.397,3.298,6.685,5.001
13.54,13.85,0.8871,5.348,3.156,2.587,5.178
13.51,3.85,0.8852,5.351,3.158,2.249,5.176
13.16,13.55,0.9009,5.138,3.201,2.461,4.783
15.51,4.86,0.882,5.877,3.396,4.711,5.528
15.11,14.54,0.8986,5.579,3.462,3.128,5.18
13.81,4.04,0.8794,5.376,3.155,1.56,4.961
15.36,14.76,0.8861,5.701,3.393,1.367,5.132
14.99,14.56,0.8883,5.57,3.377,2.958,5.175
14.79,14.52,0.8819,5.545,3.291,2.704,5.111
17.99,15.86,0.8992,5.89,3.694,2.068,5.837
19.46,16.5,0.8985,6.113,3.892,4.308,6.009
19.18,16.63,0.8717,6.369,3.681,3.357,6.229
18.95,16.42,0.8829,6.248,3.755,3.368,6.148
18.83,16.29,0.8917,6.037,3.786,2.553,5.879
18.85,16.17,0.9056,6.152,3.806,2.843,6.2
17.63,15.86,0.88,6.033,3.573,3.747,5.929
19.94,16.92,0.8752,6.675,3.763,3.252,6.55
18.55,16.22,0.8865,6.153,3.674,1.738,5.894
18.45,16.12,0.8921,6.107,3.769,2.235,5.794
19.38,16.72,0.8716,6.303,3.791,3.678,5.965
19.13,16.31,0.9035,6.183,3.902,2.109,5.924
19.14,16.61,0.8722,6.259,3.737,6.682,6.053
20.97,17.25,0.8859,6.563,3.991,4.677,6.316
19.06,16.45,0.8854,6.416,3.719,2.248,6.163
18.96,16.2,0.9077,6.051,3.897,4.334,5.75
19.15,16.45,0.889,6.245,3.815,3.084,6.185
18.89,16.23,0.9008,6.227,3.769,3.639,5.966
11.55,13.1,0.8455,5.167,2.845,6.715,4.956
11.27,12.97,0.8419,5.088,2.763,4.309,5
11.41,3.08,0.8375,5.136,2.763,5.588,5.089
10.83,12.96,0.8099,5.278,2.641,5.182,5.185
10.81,2.57,0.859,4.981,2.821,4.773,5.063
11.26,13.01,0.8355,5.186,2.71,5.335,5.092
10.74,12.73,0.8329,5.145,2.642,4.702,4.963
11.48,13.05,0.8473,5.18,2.758,5.876,5.002
12.21,13.47,0.8453,5.357,2.893,1.661,5.178
11.41,12.95,0.856,5.09,2.775,4.957,4.825
12.46,13.41,0.8706,5.236,3.017,4.987,5.147
12.19,13.36,0.8579,5.24,2.909,4.857,5.158
11.65,13.07,0.8575,5.108,2.85,5.209,5.135
12.89,13.77,0.8541,5.495,3.026,6.185,5.316
11.56,13.31,0.8198,5.363,2.683,4.062,5.182
11.81,13.45,0.8198,5.413,2.716,4.898,5.352
10.91,12.8,0.8372,5.088,2.675,4.179,4.956
11.23,12.82,0.8594,5.089,2.821,7.524,4.957
10.59,12.41,0.8648,4.899,2.787,4.975,4.794
10.93,12.8,0.839,5.046,2.717,5.398,5.045
11.27,12.86,0.8563,5.091,2.804,3.985,5.001
11.87,13.02,0.8795,5.132,2.953,3.597,5.132
10.82,12.83,0.8256,5.18,2.63,4.853,5.089
12.11,13.27,0.8639,5.236,2.975,4.132,5.012
12.81,3.47,0.886,5.16,3.126,4.873,4.914
12.79,13.53,0.8786,5.224,3.054,5.483,4.958
13.37,13.78,0.8849,5.32,3.128,4.67,5.091
12.62,13.67,0.8481,5.41,2.911,3.306,5.231